fecha,hora,precio_predicho,precio_real,error_absoluto
2025-01-01,0,68.4039,17.3103,51.0936
2025-01-01,1,64.4862,17.3103,47.1759
2025-01-01,2,64.0696,17.3103,46.7593
2025-01-01,3,62.3478,17.3103,45.0375
2025-01-01,4,66.6959,2.5689,64.127
2025-01-01,5,75.1688,2.5689,72.5999
2025-01-01,6,86.6233,2.5839,84.0394
2025-01-01,7,94.7801,2.5839,92.1962
2025-01-01,8,98.5503,2.5839,95.9664
2025-01-01,9,102.8824,2.5839,100.2985
2025-01-01,10,104.9996,2.5839,102.4157
2025-01-01,11,111.0869,2.5839,108.503
2025-01-01,12,113.4204,23.0044,90.416
2025-01-01,13,114.2814,23.0044,91.277
2025-01-01,14,113.0933,23.0044,90.0889
2025-01-01,15,115.8468,23.0044,92.8424
2025-01-01,16,115.9473,35.7504,80.1969
2025-01-01,17,116.3278,38.9486,77.3792
2025-01-01,18,120.5482,53.6361,66.9121
2025-01-01,19,122.3839,60.4083,61.9756
2025-01-01,20,116.0001,122.5344,6.5343
2025-01-01,21,107.0771,122.5344,15.4573
2025-01-01,22,92.3783,56.3417,36.0366
2025-01-01,23,79.1123,56.3417,22.7706
2025-01-02,0,71.0127,17.3161,53.6966
2025-01-02,1,68.0851,10.4751,57.61
2025-01-02,2,66.9389,10.4751,56.4638
2025-01-02,3,65.8297,11.3958,54.4339
2025-01-02,4,66.982,11.3958,55.5862
2025-01-02,5,73.4873,17.9082,55.5791
2025-01-02,6,87.7257,18.0174,69.7083
2025-01-02,7,97.4638,40.7629,56.7009
2025-01-02,8,104.4588,40.7629,63.6959
2025-01-02,9,109.5728,54.0516,55.5212
2025-01-02,10,110.7289,54.0516,56.6773
2025-01-02,11,114.9367,54.0516,60.8851
2025-01-02,12,115.3096,56.7693,58.5403
2025-01-02,13,114.9573,56.7693,58.188
2025-01-02,14,115.3449,56.7693,58.5756
2025-01-02,15,117.8172,56.7693,61.0479
2025-01-02,16,121.4471,56.7693,64.6778
2025-01-02,17,121.6484,56.7693,64.8791
2025-01-02,18,126.9345,56.7663,70.1682
2025-01-02,19,124.1533,56.7663,67.387
2025-01-02,20,116.3133,56.7663,59.547
2025-01-02,21,105.1457,56.7663,48.3794
2025-01-02,22,91.5273,40.5327,50.9946
2025-01-02,23,85.3988,9.8857,75.5131
2025-01-03,0,73.1531,2.1255,71.0276
2025-01-03,1,69.9237,2.1255,67.7982
2025-01-03,2,68.6798,2.1255,66.5543
2025-01-03,3,68.9305,2.1255,66.805
2025-01-03,4,70.5367,2.1255,68.4112
2025-01-03,5,76.9834,2.1255,74.8579
2025-01-03,6,86.9943,1.512,85.4823
2025-01-03,7,94.9336,9.9446,84.989
2025-01-03,8,103.0177,9.9446,93.0731
2025-01-03,9,107.9785,9.9446,98.0339
2025-01-03,10,111.2834,9.9446,101.3388
2025-01-03,11,112.7339,9.9446,102.7893
2025-01-03,12,115.058,12.0625,102.9955
2025-01-03,13,113.8979,23.1227,90.7752
2025-01-03,14,115.8209,23.1227,92.6982
2025-01-03,15,117.19,62.8239,54.3661
2025-01-03,16,117.0214,62.8239,54.1975
2025-01-03,17,114.7632,60.2743,54.4889
2025-01-03,18,118.172,60.1945,57.9775
2025-01-03,19,118.4908,60.1945,58.2963
2025-01-03,20,111.2166,60.1945,51.0221
2025-01-03,21,104.416,60.1945,44.2215
2025-01-03,22,89.1735,60.1404,29.0331
2025-01-03,23,82.8689,40.7304,42.1385
2025-01-04,0,80.7893,20.2479,60.5414
2025-01-04,1,74.9769,4.3635,70.6134
2025-01-04,2,73.2547,4.3635,68.8912
2025-01-04,3,70.626,4.3635,66.2625
2025-01-04,4,67.1099,4.3635,62.7464
2025-01-04,5,69.6632,4.3635,65.2997
2025-01-04,6,73.8764,9.9491,63.9273
2025-01-04,7,82.3765,12.9742,69.4023
2025-01-04,8,91.4273,14.2631,77.1642
2025-01-04,9,101.6851,14.2631,87.422
2025-01-04,10,105.1837,7.3638,97.8199
2025-01-04,11,106.5055,7.3638,99.1417
2025-01-04,12,103.7902,6.6885,97.1017
2025-01-04,13,100.3975,4.5944,95.8031
2025-01-04,14,100.2648,2.8535,97.4113
2025-01-04,15,100.6872,2.8535,97.8337
2025-01-04,16,100.901,2.8535,98.0475
2025-01-04,17,99.6661,2.8535,96.8126
2025-01-04,18,103.2772,23.1178,80.1594
2025-01-04,19,101.3814,23.1178,78.2636
2025-01-04,20,96.8679,23.1178,73.7501
2025-01-04,21,91.3103,23.1178,68.1925
2025-01-04,22,79.1001,2.1302,76.9699
2025-01-04,23,70.5512,1.5747,68.9765
2025-01-05,0,70.3681,2.5735,67.7946
2025-01-05,1,68.146,2.5735,65.5725
2025-01-05,2,63.7636,2.5735,61.1901
2025-01-05,3,60.1046,2.5735,57.5311
2025-01-05,4,59.1092,0.6429,58.4663
2025-01-05,5,57.7383,2.5735,55.1648
2025-01-05,6,59.152,2.8575,56.2945
2025-01-05,7,62.3541,2.5972,59.7569
2025-01-05,8,70.4752,2.5972,67.878
2025-01-05,9,75.0986,2.5972,72.5014
2025-01-05,10,75.5384,2.5972,72.9412
2025-01-05,11,74.5804,2.5972,71.9832
2025-01-05,12,76.3032,2.5972,73.706
2025-01-05,13,74.9168,2.5972,72.3196
2025-01-05,14,75.5931,2.8575,72.7356
2025-01-05,15,75.94,22.7238,53.2162
2025-01-05,16,77.6381,60.2381,17.4
2025-01-05,17,78.3242,56.7828,21.5414
2025-01-05,18,88.2129,56.7717,31.4412
2025-01-05,19,91.2129,56.7717,34.4412
2025-01-05,20,89.5877,56.7717,32.816
2025-01-05,21,82.8167,56.7717,26.045
2025-01-05,22,69.1984,56.4146,12.7838
2025-01-05,23,63.8453,59.8475,3.9978
2025-01-06,0,57.8585,4.3521,53.5064
2025-01-06,1,54.121,4.3521,49.7689
2025-01-06,2,52.8333,4.3521,48.4812
2025-01-06,3,51.4048,4.3521,47.0527
2025-01-06,4,57.1806,12.3944,44.7862
2025-01-06,5,66.2927,12.3944,53.8983
2025-01-06,6,79.9925,35.1028,44.8897
2025-01-06,7,88.7081,87.5267,1.1814
2025-01-06,8,93.5373,87.5267,6.0106
2025-01-06,9,98.6012,87.5267,11.0745
2025-01-06,10,105.8318,87.5267,18.3051
2025-01-06,11,111.7582,87.5267,24.2315
2025-01-06,12,115.3401,87.5267,27.8134
